Amazon_Product_Name,Flipkart_Product_Name,Brand_Similarity,Color_Similarity,Capacity_Similarity,Product_Name_Similarity
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT64HBFDG, Black Mirror)",1.0,0.71,1.0,0.62
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT64MBFDG, Black Mirror)",1.0,0.82,1.0,0.62
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",1.0,0.71,1.0,0.66
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT64HBFDG, Black Mirror)",1.0,0.71,1.0,0.62
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT64MBFDG, Black Mirror)",1.0,0.82,1.0,0.62
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT645BFDG, Black)",1.0,0.71,1.0,0.66
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT64HBFDG, Black Mirror)",1.0,0.71,1.0,0.62
"Panasonic 27L Convection Microwave Oven(NN-CT645BFDG,,Black Mirror, 360° Heat Wrap, Magic Grill)","Panasonic 27 L Convection Microwave Oven  (NN-CT64MBFDG, Black Mirror)",1.0,0.82,1.0,0.62
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",1.0,1.0,1.0,0.51
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Convection Microwave Oven  (MC2886BLT, Black)",1.0,1.0,1.0,0.51
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BFUM, Black)",1.0,1.0,1.0,0.63
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Convection Microwave Oven  (MC2886BFUM, Black)",1.0,1.0,1.0,0.51
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Convection Microwave Oven  (MJ2887BFUM, Black)",1.0,1.0,1.0,0.55
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Convection Microwave Oven  (MC2846BR, Black)",1.0,1.0,1.0,0.51
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Convection Microwave Oven  (MC2886BHT, BLACK)",1.0,1.0,1.0,0.51
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Convection Microwave Oven  (MJEN286UH, Black)",1.0,1.0,1.0,0.51
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Convection Microwave Oven  (MJEN286UF, Black)",1.0,1.0,1.0,0.51
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Convection Microwave Oven  (MC2886BFTM, Black)",1.0,1.0,1.0,0.51
"LG 28 L Charcoal Convection Microwave Oven (MJ2887BFUM, Black, with 360° Motorised Rotisserie & Charcoal Lighting Heater with 10 years warranty)","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BWUM, Floral)",1.0,1.0,1.0,0.55
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2846BV, Black)",1.0,1.0,1.0,0.57
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",1.0,1.0,1.0,0.57
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",1.0,1.0,1.0,0.61
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BLT, Black)",1.0,1.0,1.0,0.61
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BFUM, Black)",1.0,1.0,1.0,0.66
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BFUM, Black)",1.0,1.0,1.0,0.61
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BPUM, Black)",1.0,0.71,1.0,0.57
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MJ2887BFUM, Black)",1.0,1.0,1.0,0.57
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2887BFUM.DBKQILN, Black)",1.0,1.0,1.0,0.57
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MJEN286UI, Black)",1.0,1.0,1.0,0.57
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2846BR, Black)",1.0,1.0,1.0,0.61
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BHT, BLACK)",1.0,1.0,1.0,0.61
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MJEN286UH, Black)",1.0,1.0,1.0,0.61
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MJEN286UF, Black)",1.0,1.0,1.0,0.61
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BFTM, Black)",1.0,1.0,1.0,0.61
"LG 28 L Wi-Fi Enabled Charcoal Convection Healthy Microwave Oven (MJEN286UFW, Black, Diet Fry) - 2023 Model","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BWUM, Floral)",1.0,1.0,1.0,0.57
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MC2846BV, Black)",1.0,1.0,1.0,0.57
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",1.0,1.0,1.0,0.57
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",1.0,1.0,1.0,0.61
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MC2886BLT, Black)",1.0,1.0,1.0,0.61
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BFUM, Black)",1.0,1.0,1.0,0.76
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MC2886BFUM, Black)",1.0,1.0,1.0,0.61
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MC2886BPUM, Black)",1.0,0.71,1.0,0.57
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MJ2887BFUM, Black)",1.0,1.0,1.0,0.57
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MC2887BFUM.DBKQILN, Black)",1.0,1.0,1.0,0.57
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MJEN286UI, Black)",1.0,1.0,1.0,0.66
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MC2846BR, Black)",1.0,1.0,1.0,0.61
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MC2886BHT, BLACK)",1.0,1.0,1.0,0.61
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MJEN286UH, Black)",1.0,1.0,1.0,0.61
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MJEN286UF, Black)",1.0,1.0,1.0,0.61
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Convection Microwave Oven  (MC2886BFTM, Black)",1.0,1.0,1.0,0.61
"LG 28 L Charcoal Convection Microwave Oven (MJEN286UI, Black, 360° Motorised Rotisserie & Charcoal Lighting Heater)","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BWUM, Floral)",1.0,1.0,1.0,0.66
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2846BV, Black)",1.0,1.0,1.0,0.53
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",1.0,1.0,1.0,0.53
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",1.0,1.0,1.0,0.58
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BLT, Black)",1.0,1.0,1.0,0.58
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BFUM, Black)",1.0,1.0,1.0,0.53
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BFUM, Black)",1.0,1.0,1.0,0.58
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BPUM, Black)",1.0,0.71,1.0,0.53
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MJ2887BFUM, Black)",1.0,1.0,1.0,0.53
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2887BFUM.DBKQILN, Black)",1.0,1.0,1.0,0.53
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MJEN286UI, Black)",1.0,1.0,1.0,0.53
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2846BR, Black)",1.0,1.0,1.0,0.58
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BHT, BLACK)",1.0,1.0,1.0,0.58
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MJEN286UH, Black)",1.0,1.0,1.0,0.58
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MJEN286UF, Black)",1.0,1.0,1.0,0.58
"LG 28 L Convection Microwave Oven (MC2846BD, Black, Health Plus Menu | 251 Auto Cook Menu) - 2023 Model","LG 28 L Convection Microwave Oven  (MC2886BFTM, Black)",1.0,1.0,1.0,0.58
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2846BV, Black)",1.0,1.0,1.0,0.88
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",1.0,1.0,1.0,0.76
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",1.0,1.0,1.0,0.82
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2886BLT, Black)",1.0,1.0,1.0,0.82
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BFUM, Black)",1.0,1.0,1.0,0.76
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2886BFUM, Black)",1.0,1.0,1.0,0.82
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2886BPUM, Black)",1.0,0.71,1.0,0.76
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MJ2887BFUM, Black)",1.0,1.0,1.0,0.76
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2887BFUM.DBKQILN, Black)",1.0,1.0,1.0,0.76
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MJEN286UI, Black)",1.0,1.0,1.0,0.76
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2846BR, Black)",1.0,1.0,1.0,0.82
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2886BHT, BLACK)",1.0,1.0,1.0,0.82
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MJEN286UH, Black)",1.0,1.0,1.0,0.82
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MJEN286UF, Black)",1.0,1.0,1.0,0.82
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Convection Microwave Oven  (MC2886BFTM, Black)",1.0,1.0,1.0,0.82
"LG 28 L Convection Microwave Oven (MC2846BV, Black, Quartz Heater)","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BWUM, Floral)",1.0,1.0,1.0,0.63
"LG 28 L Convection Microwave Oven (MC2846SL, Silver)","LG 28 L Convection Microwave Oven  (MC2846SL, Silver)",1.0,1.0,1.0,1.0
"LG 28 L Convection Microwave Oven (MC2846SL, Silver)","LG 28 L Convection Microwave Oven  (MC2886SFU, Silver)",1.0,1.0,1.0,0.93
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2846BV, Black)",1.0,1.0,1.0,0.6
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",1.0,1.0,1.0,0.6
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",1.0,1.0,1.0,0.65
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2886BLT, Black)",1.0,1.0,1.0,0.65
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BFUM, Black)",1.0,1.0,1.0,0.6
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2886BFUM, Black)",1.0,1.0,1.0,0.65
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2886BPUM, Black)",1.0,0.71,1.0,0.72
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MJ2887BFUM, Black)",1.0,1.0,1.0,0.6
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2887BFUM.DBKQILN, Black)",1.0,1.0,1.0,0.6
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MJEN286UI, Black)",1.0,1.0,1.0,0.6
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2846BR, Black)",1.0,1.0,1.0,0.65
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2886BHT, BLACK)",1.0,1.0,1.0,0.65
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MJEN286UH, Black)",1.0,1.0,1.0,0.65
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MJEN286UF, Black)",1.0,1.0,1.0,0.65
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Convection Microwave Oven  (MC2886BFTM, Black)",1.0,1.0,1.0,0.65
"LG 28 L Convection Microwave Oven (MC2886BPUM, Floral Purple, Diet Fry)","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BWUM, Floral)",1.0,1.0,1.0,0.72
"LG 28 L Convection Microwave Oven (MC2886BRUM, Black, With 360° Motorised Rotisserie & Diet Fry)","LG 28 L Convection Microwave Oven  (MC2846BV, Black)",1.0,1.0,1.0,0.63
"LG 28 L Convection Microwave Oven (MC2886BRUM, Black, With 360° Motorised Rotisserie & Diet Fry)","LG 28 L Convection Microwave Oven  (MC2886BRUM, Black)",1.0,1.0,1.0,0.73
"LG 28 L Convection Microwave Oven (MC2886BRUM, Black, With 360° Motorised Rotisserie & Diet Fry)","LG 28 L Convection Microwave Oven  (MC2846BG.DBKQILN, Black)",1.0,1.0,1.0,0.68
"LG 28 L Convection Microwave Oven (MC2886BRUM, Black, With 360° Motorised Rotisserie & Diet Fry)","LG 28 L Convection Microwave Oven  (MC2886BLT, Black)",1.0,1.0,1.0,0.68
"LG 28 L Convection Microwave Oven (MC2886BRUM, Black, With 360° Motorised Rotisserie & Diet Fry)","LG 28 L Charcoal Convection Microwave Oven  (MJ2886BFUM, Black)",1.0,1.0,1.0,0.63
